t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N,chassis,w0,w1,w2
0.2736,0.923512,-1.046046,0.968144,-0.076923,0.076923,-0.054947,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.021978,-0.021978,-0.002442,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005174,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.2836,0.923512,-1.045665,0.968144,-0.186813,0.428570,-0.010990,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.046398,0.007326,-0.017094,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005167,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.2935,0.923512,-1.046046,0.968144,-0.340660,0.076923,0.032967,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.051282,-0.012210,-0.002442,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005166,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.3036,0.923512,-1.045665,0.968144,0.142857,0.340660,0.120880,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.021978,-0.002442,-0.031746,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005163,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.3138,0.923512,-1.045665,0.967763,0.230770,0.252747,-0.340660,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.007629,-0.017094,-0.007326,-0.021978,-0.282015,-0.152247,0.196864,-0.282086,-0.152196,0.196774,0.320486,0.376121,3.005157,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.3237,0.923131,-1.046046,0.967763,-0.142857,0.098900,-0.252747,0.923512,-1.046046,0.968144,0.007629,0.000000,0.007629,-0.012210,-0.031746,-0.002442,-0.282043,-0.152175,0.196805,-0.282086,-0.152196,0.196774,0.320477,0.376082,3.005147,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.3340,0.923512,-1.046046,0.968144,0.120880,-0.186813,0.142857,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.002442,-0.041514,-0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005131,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.3440,0.923512,-1.046046,0.968144,0.010990,0.120880,0.054947,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.012210,0.002442,-0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005118,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.3539,0.923512,-1.045665,0.968144,-0.230770,0.318680,-0.032967,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.031746,-0.017094,-0.012210,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005106,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.3641,0.923131,-1.046046,0.968144,-0.362637,-0.164837,0.032967,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,-0.031746,-0.026862,0.007326,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.005097,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
