t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.3377,0.02720,0.22,APPROACH,0.360836,0.510755,0.446668,0.032967,0.208790,-0.428570,0.343006,0.530956,0.458322,-0.356600,0.404003,0.233088,-0.139194,0.266178,-0.056166,0.014113,0.029326,0.427038,0.016086,0.037674,0.427068,0.032546,0.428277,0.020200
0.3476,0.02800,0.23,APPROACH,0.359692,0.511137,0.448575,0.054947,0.186813,0.406593,0.341276,0.532300,0.459996,-0.368309,0.423269,0.228417,-0.173382,0.280830,-0.036630,0.013783,0.029891,0.427074,0.016022,0.038472,0.427068,0.032916,0.428340,0.021163
0.3575,0.02880,0.24,APPROACH,0.358546,0.512281,0.450482,0.230770,0.054947,0.164837,0.339555,0.533655,0.461679,-0.379818,0.427472,0.223940,-0.261294,0.251526,-0.056166,0.013623,0.030554,0.427139,0.015958,0.039269,0.427068,0.033453,0.428447,0.021374
0.3680,0.02960,0.24,APPROACH,0.356639,0.513426,0.452390,-0.626373,0.208790,0.010990,0.337843,0.535019,0.463372,-0.375906,0.431871,0.219657,-0.173382,0.256411,-0.070818,0.013462,0.031400,0.427144,0.015893,0.040066,0.427068,0.034165,0.428508,0.021594
0.3780,0.03040,0.25,APPROACH,0.355494,0.514570,0.454297,-0.274727,0.384617,0.186813,0.336141,0.536393,0.465075,-0.387071,0.436465,0.215567,-0.285714,0.236875,-0.051282,0.013301,0.032063,0.427207,0.015829,0.040864,0.427068,0.034712,0.428615,0.021823
0.3884,0.03120,0.26,APPROACH,0.354350,0.516096,0.455441,-0.428570,0.252747,0.164837,0.334447,0.537777,0.466788,-0.398056,0.433627,0.226930,-0.271062,0.188034,-0.046398,0.013392,0.032678,0.427242,0.015765,0.041661,0.427068,0.035316,0.428699,0.021681
0.3982,0.03200,0.26,APPROACH,0.352824,0.518003,0.457349,-0.032967,0.274727,0.230770,0.332763,0.539171,0.468510,-0.401228,0.423354,0.223227,-0.207570,0.148962,-0.026862,0.013402,0.033530,0.427303,0.015701,0.042459,0.427068,0.036109,0.428826,0.021168
0.4086,0.03280,0.27,APPROACH,0.351680,0.519911,0.459638,-0.142857,0.186813,0.626373,0.331087,0.540575,0.470242,-0.411849,0.413278,0.212090,-0.231990,0.144078,-0.070818,0.013328,0.034337,0.427413,0.015637,0.043256,0.427068,0.036833,0.428997,0.020664
0.4188,0.03360,0.28,APPROACH,0.350154,0.521818,0.461163,-0.120880,0.252747,0.472527,0.329421,0.541988,0.471984,-0.414658,0.403397,0.216404,-0.241758,0.100122,-0.100122,0.013421,0.035141,0.427449,0.015572,0.044054,0.427068,0.037617,0.429101,0.020733
0.4302,0.03440,0.28,APPROACH,0.347865,0.524488,0.463071,-0.362637,0.406593,-0.142857,0.327764,0.543411,0.473735,-0.402025,0.378454,0.213284,-0.227106,0.090354,-0.065934,0.013601,0.036274,0.427473,0.015508,0.044851,0.427068,0.038740,0.429225,0.020101
